,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1765,1,0,1,0,1.0436161483629645,1,1,1.5251410362335358,1.8735763152819624,-1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
5667,1,0,1,0,-1.1552834925186746,1,1,-1.4827115340671475,-0.9677950624063517,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
2959,0,0,1,1,-0.21871512695797646,1,1,1.1961052302006432,0.22529171250068047,-1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
3537,0,0,1,1,-0.30015585439803716,1,1,-0.3693075439558449,-0.4096760320707915,-1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
4639,0,1,0,0,-0.2594354906780068,1,1,0.9584682591768874,0.053336919285076605,-1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
5218,0,0,1,1,-1.318164947398796,1,1,-1.4976677070686424,0.0,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
740,1,0,0,0,0.5956921474426305,1,1,0.00792037508186511,0.2634180352485746,-1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
1394,1,0,1,1,1.2064976032430856,1,1,1.5301264272340338,2.012349948630696,-1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
602,1,0,1,1,1.369379058123207,1,1,0.3153528201125979,1.137365191369528,-1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
1323,1,0,1,0,1.5729808767233588,1,1,-1.3331498040521963,-0.25306448975836465,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
2829,0,1,0,0,-0.9924020376385531,1,1,0.16412929309748078,-0.7605176771834344,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
917,0,0,0,0,1.6137012404433893,0,1,0.02620014208369237,1.1144938130447921,-1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
5411,1,1,1,0,-1.2774445836787656,0,1,-1.328164413051698,-0.9972011202524402,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
2069,1,0,0,0,-1.2774445836787656,1,1,1.0249401391835322,-0.9659406263259678,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
1563,0,1,0,0,-1.1552834925186746,1,1,0.15249671409631763,-0.8926241712907873,-1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
4939,0,0,0,0,-1.2774445836787656,1,1,-1.5242564590713006,-0.9998061614129797,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
4527,1,0,0,0,0.26992923768238775,1,1,0.5214156481331973,0.40543693173798007,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
6844,0,0,0,0,-0.13727439951791576,1,1,0.827186296163764,0.15027535772514808,-1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1
5043,0,1,0,0,-0.5444780367182193,1,1,0.85876043916692,-0.2752073396229494,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
2539,1,0,1,1,1.3286586944031769,1,1,-1.288281285047711,-0.27748123148342024,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
5795,0,0,0,0,0.26992923768238775,1,1,1.3838882912194153,0.775926768654691,-1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
6717,0,1,1,0,1.002895784642934,1,1,1.1911198392001445,1.5289602770106085,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
84,1,0,1,0,0.6771328748826912,1,1,-1.4827115340671475,-0.5783855621457233,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
5661,0,0,0,0,-1.1552834925186746,1,1,-1.4926823160681442,-0.9803345825689481,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
3705,1,0,1,1,1.4915401492832983,1,1,-0.11172900893009581,0.7844041907364462,-1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
6721,1,0,1,1,0.6771328748826912,1,1,0.4831943171293762,0.7149069909620566,-1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
1446,0,0,0,1,-1.2774445836787656,1,1,-0.4889569279678058,-0.9860524271501319,-1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
4628,1,0,1,0,-0.8295205827584317,1,1,-0.3510277769540174,-0.7032730015115817,-1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0
1118,1,0,1,1,0.6364125111626608,1,1,1.3456669602155942,1.1984070456821667,-1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
3638,1,1,1,0,-1.2367242199587352,1,1,-0.4856333339674735,-0.9573307445241851,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
6330,1,0,1,0,-0.38159658183809786,1,1,0.8438042661654253,-0.10523944220775704,-1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
4678,1,0,0,1,-1.2367242199587352,1,1,0.9784098231788811,-0.9225821446369902,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
3757,1,0,0,0,0.3920903288424788,1,1,0.05777428508684881,0.21169251457786464,-1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
5432,1,0,0,0,-1.2367242199587352,1,1,0.3868100911197414,-0.9371527138400071,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
4608,0,0,0,0,0.9214550572028734,1,1,0.43334040712439253,0.9007479781605358,-1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
3964,1,0,1,1,1.4508197855632678,1,1,1.5617005702371902,2.30833119303198,-1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
914,0,0,1,1,1.6137012404433893,1,1,-1.3148700370503688,-0.21387848925025105,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
6193,1,0,0,1,-0.7888002190384014,1,1,1.3091074262119398,-0.43455638281594317,-1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
3665,0,0,1,0,1.5729808767233588,1,1,1.1379423351948288,2.080191401904743,-1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
6158,0,0,0,0,-1.2367242199587352,1,1,-1.4993295040688086,-0.9943753128918553,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
6362,1,0,0,0,-1.2367242199587352,1,1,0.33695618111475767,-0.9480806407422697,-1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
6280,1,0,0,1,-0.38159658183809786,1,1,-0.5088984919697991,-0.513921831732376,-1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
6327,0,0,0,0,-0.1779947632379461,1,1,0.8803638001690798,0.08846082171234919,-1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0
7007,0,1,1,0,1.6137012404433893,0,1,-0.055227910924447524,1.0606710134736481,-1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
112,1,0,0,0,0.43281069256250915,1,1,0.893658176170409,0.7377121394267785,-1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
1874,1,0,1,0,0.43281069256250915,1,1,0.720831288153132,0.5701064403520752,-1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
3763,0,0,1,0,-1.1552834925186746,1,1,0.5180920541328647,-0.8724240639866049,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
4516,0,0,1,1,1.6137012404433893,1,1,0.7573908221567865,1.845539007876157,-1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
2174,1,0,0,0,-0.5444780367182193,1,1,-1.479387940066815,-0.838757218479634,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
4792,1,1,1,0,1.3286586944031769,1,1,1.3789029002189168,2.0736567223833897,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
5090,0,1,1,0,-1.0331224013585834,1,1,0.9950277931805424,-0.7109556652731724,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
3782,1,0,0,1,-0.8295205827584317,1,1,0.641065032145158,-0.581387982466345,-1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
5278,1,0,1,1,0.9621754209229036,1,1,1.4902432992300467,1.6202912539695191,-1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
937,1,0,0,0,-1.0738427650786138,1,1,0.4748853321285456,-0.8163052959349854,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
987,0,0,0,0,-1.2774445836787656,1,1,-1.4960059100684764,-0.9994308588729021,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
2012,1,0,1,0,0.5956921474426305,1,1,1.1296333501939984,0.9936243185197658,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
2694,0,0,1,1,-0.9924020376385531,1,1,-1.4993295040688086,-0.933200998859189,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
105,0,0,0,0,-1.1145631287986442,0,1,-1.3447823830533592,-0.9639095772855473,-1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
669,1,0,1,0,1.5322605130033284,0,1,-0.23137839294205673,0.7753306999145677,-1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
36,0,0,0,0,-1.1145631287986442,1,1,0.16412929309748078,-0.8682295061857364,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
783,1,0,0,0,-1.2774445836787656,1,1,-0.4174996569606623,-0.9851031324899355,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
3338,1,0,0,0,-0.8295205827584317,1,1,0.8188773111629334,-0.5243861496145426,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
598,0,0,1,0,0.758573602322752,1,1,0.8504514541660894,1.0293222130671573,-1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
440,1,0,1,1,-0.6666391278783103,1,1,1.6015836982411773,-0.17694430398260377,-1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
5899,0,1,0,0,1.4100994218432374,1,1,0.36354493311741554,1.2263781232279585,-1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
3624,1,1,1,1,1.2064976032430856,1,1,1.0415581091851935,1.649586928715585,-1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
443,1,0,0,1,-0.5851984004382496,1,1,0.001273187081200524,-0.49301527258804717,-1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
3409,1,1,1,0,1.5322605130033284,1,1,1.624848856243503,2.3981168065905702,-1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
3365,0,0,0,0,-0.5444780367182193,1,1,-1.4993295040688086,-0.8500162946819653,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
313,1,1,1,0,-1.1145631287986442,1,1,0.15249671409631763,-0.8573236559034784,-1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
4405,0,0,1,1,-1.0738427650786138,1,1,0.6244470621434968,-0.7972973261110498,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
6621,1,0,1,1,0.5549717837226001,1,1,-1.5076384890696393,-0.5850968546271129,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3877,1,0,1,1,-0.46303730927815856,0,1,-0.2928648819482031,-0.4972760602489294,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
2135,1,0,0,0,0.9621754209229036,1,1,1.3905354792200795,1.5942187657441207,-1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
2963,1,0,1,1,0.06632741908223598,1,1,-1.3015756610490399,-0.6031996830308611,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1914,1,0,0,0,-1.1960038562387048,1,1,-0.005374000919464063,-0.9312361796787822,-1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
2052,1,0,0,0,0.6364125111626608,1,1,1.2991366442109427,1.1756902036974632,-1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
5070,0,0,0,1,0.10704778280226633,1,1,0.677624566148813,0.3299569679423516,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
506,0,0,0,1,-0.8702409464784621,1,1,0.43998759512505714,-0.6320538253768355,-1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1676,1,0,0,0,-1.1552834925186746,1,1,0.5114448661322006,-0.8669269856054668,-1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
4198,1,0,1,1,0.7992939660427822,1,1,-1.3863273080575123,-0.45398380841996566,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
3746,1,0,1,0,-1.2774445836787656,1,1,0.13920233809498894,-0.9777074647884042,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
2443,1,0,1,1,1.6137012404433893,1,1,1.4885815022298807,2.4743252988463493,-1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
2715,0,0,0,0,0.35136996512244845,1,1,-1.3132082400502028,-0.5681861637036115,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
3165,0,0,1,1,-0.3408762181180675,1,1,-1.479387940066815,-0.8139872508345054,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
5728,1,0,0,0,-0.7888002190384014,1,1,0.8188773111629334,-0.5081819105311876,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
3543,0,0,1,0,1.6137012404433893,1,1,1.3572995392167568,2.3393267675183975,-1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0
6545,1,0,0,0,-0.9516816739185228,1,1,0.32864719611392706,-0.6975110036903887,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
4197,1,0,0,1,-0.4223169455581282,1,1,0.6643301901474837,-0.20599713590861923,-1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
133,0,0,0,0,-1.2774445836787656,0,1,-0.9742016520163136,-0.9924988001914667,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
852,0,0,0,0,-1.2367242199587352,1,1,-1.3265026160515319,-0.9807761149690395,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
1210,0,0,1,1,-0.62591876415828,1,1,0.14086413509515497,-0.5005434000096058,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
6940,1,0,1,1,1.6137012404433893,0,1,-0.3028356639492,0.7050166652000089,-1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
1833,0,0,0,0,-1.2774445836787656,1,1,-0.5587524019747828,-0.986979645190324,-1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1212,0,0,0,0,-1.0331224013585834,1,1,0.15914390209698223,-0.7779582069870455,-1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
596,0,0,0,0,-0.6666391278783103,0,1,-0.32942441595185784,-0.6036412154309526,-1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1
2203,0,0,1,1,1.6137012404433893,1,1,1.3340343812144315,2.319899341914375,-1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
741,1,0,0,0,-1.2367242199587352,1,1,0.5214156481331973,-0.9476170317221738,-1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
608,0,0,1,1,1.6137012404433893,1,1,1.654761202246493,2.659239068004636,-1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
3369,1,1,0,0,-0.8702409464784621,1,1,-0.304497460949366,-0.7517091058016105,-1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
3952,1,0,0,0,1.6137012404433893,1,1,1.438727592224897,2.4387157107789763,-1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
6643,1,1,1,0,-1.1960038562387048,1,1,0.32698539911376057,-0.9026028035328535,-1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
6211,1,0,1,1,-1.1145631287986442,1,1,0.6975661301508063,-0.800211439951653,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
226,1,0,1,1,-0.055833672077855064,1,1,0.544680806135523,0.11587998375802637,-1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
4699,1,0,1,0,0.6771328748826912,1,1,1.392197276220246,1.2764920506383346,-1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
6264,0,0,0,0,0.47353105628253944,1,1,1.1745018691984834,0.9250322601655638,-1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
1328,1,0,1,0,-0.38159658183809786,1,1,-0.3493659799538514,-0.4687972204430328,-1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
6625,1,1,0,0,-0.8295205827584317,1,1,0.8820255971692458,-0.5248939118746477,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
5672,1,0,1,0,0.6771328748826912,1,1,0.23392476710445778,0.5248714459627093,-1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
4576,0,0,1,1,-0.6666391278783103,1,1,-1.4960059100684764,-0.8697748695860563,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
749,1,0,0,0,1.247217966963116,1,1,0.8404806721650927,1.560242847557086,-1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
5476,1,1,0,0,-1.1145631287986442,1,1,0.6676537841478158,-0.8246723349167178,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
2102,0,0,0,1,-0.5851984004382496,1,1,0.5247392421335293,-0.3870695731861108,-1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
1985,1,0,1,1,-0.8295205827584317,0,1,-1.181926277037079,-0.8716734589064495,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
5642,1,0,0,0,-0.5037576729981889,1,1,-1.504314895069307,-0.8301473366778513,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
4780,0,0,0,0,-0.9516816739185228,1,1,0.17576187209864347,-0.7178435707145986,-1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
4538,1,0,0,0,-1.1960038562387048,1,1,0.6992279271509723,-0.8879660044698229,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
2045,1,0,0,0,1.4915401492832983,1,1,1.5201556452330371,2.283671608486874,-1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
6795,1,0,1,1,0.9214550572028734,1,1,0.6759627691486464,1.023317372425914,-1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1249,0,0,0,0,-1.2774445836787656,1,1,-0.6551366279844181,-0.988260089150589,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
4080,1,0,1,1,-0.13727439951791576,1,1,-1.2849576910473786,-0.7023678600913943,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
5006,1,0,0,0,-0.7073594915983407,1,1,-0.3011738669490337,-0.6108602701724474,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
4874,1,0,0,0,0.22920887396235737,1,1,0.6360796411446599,0.41958804516091,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
6849,0,0,1,1,-0.0965540357978854,1,1,0.6244470621434968,0.12667545094026153,-1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0
4896,0,0,0,0,-0.3408762181180675,1,1,-0.5005895069689685,-0.49252958694794663,-1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
708,0,0,1,0,-0.13727439951791576,1,1,0.3502505571160864,-0.008786689407786194,-1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
